Participant,direction,Slab,Acc
1,north,3,11.4
1,north,5,9.6
1,north,7,9.6
1,north,9,6
1,north,11,4.8
1,north,13,1.2
1,north,15,1.2
2,north,3,10.8
2,north,5,9.6
2,north,7,7.2
2,north,9,6
2,north,11,2.4
2,north,13,2.4
2,north,15,0.48
3,north,3,9.6
3,north,5,9.6
3,north,7,4.8
3,north,9,3.6
3,north,11,1.2
3,north,13,1.2
3,north,15,0.12
4,north,3,12
4,north,5,12
4,north,7,10.8
4,north,9,9.6
4,north,11,8.4
4,north,13,8.4
4,north,15,4.8
5,north,3,9.6
5,north,5,7.2
5,north,7,8.4
5,north,9,6
5,north,11,6
5,north,13,4.8
5,north,15,3.6
6,north,3,12
6,north,5,10.8
6,north,7,7.2
6,north,9,6
6,north,11,0.6
6,north,13,1.2
6,north,15,0.12
7,north,3,12
7,north,5,10.8
7,north,7,8.4
7,north,9,6
7,north,11,6
7,north,13,1.2
7,north,15,0.6
8,north,3,12
8,north,5,10.8
8,north,7,8.4
8,north,9,7.2
8,north,11,4.8
8,north,13,4.8
8,north,15,2.4
9,north,3,11.4
9,north,5,10.2
9,north,7,9
9,north,9,5.4
9,north,11,4.8
9,north,13,1.8
9,north,15,1.8
10,north,3,9.6
10,north,5,9.6
10,north,7,7.2
10,north,9,7.2
10,north,11,1.8
10,north,13,3.6
10,north,15,0.6
11,north,3,12
11,north,5,10.8
11,north,7,9.6
11,north,9,6
11,north,11,4.8
11,north,13,2.4
11,north,15,1.2
12,north,3,12
12,north,5,9.6
12,north,7,10.8
12,north,9,6
12,north,11,5.4
12,north,13,3
12,north,15,2.4
13,north,3,11.4
13,north,5,9.6
13,north,7,6
13,north,9,7.2
13,north,11,4.8
13,north,13,1.2
13,north,15,0.6
14,north,3,12
14,north,5,9.6
14,north,7,7.2
14,north,9,7.2
14,north,11,3.6
14,north,13,1.2
14,north,15,1.2
15,north,3,12
15,north,5,10.2
15,north,7,10.2
15,north,9,8.4
15,north,11,7.8
15,north,13,6
15,north,15,4.2
16,north,3,11.88
16,north,5,10.8
16,north,7,9
16,north,9,7.8
16,north,11,6
16,north,13,3.6
16,north,15,3
17,north,3,11.4
17,north,5,9.6
17,north,7,7.8
17,north,9,4.2
17,north,11,4.8
17,north,13,1.8
17,north,15,1.2
18,north,3,11.4
18,north,5,3.6
18,north,7,6
18,north,9,6
18,north,11,1.2
18,north,13,1.2
18,north,15,0.24
19,north,3,12
19,north,5,11.4
19,north,7,11.4
19,north,9,10.8
19,north,11,10.8
19,north,13,1.8
19,north,15,0.6
20,north,3,10.8
20,north,5,8.4
20,north,7,8.4
20,north,9,6
20,north,11,7.2
20,north,13,2.4
20,north,15,2.4
21,north,3,12
21,north,5,12
21,north,7,11.4
21,north,9,8.4
21,north,11,9.6
21,north,13,7.2
21,north,15,6
22,north,3,9.6
22,north,5,10.8
22,north,7,4.8
22,north,9,7.2
22,north,11,0.6
22,north,13,0.6
22,north,15,0.12
23,north,3,12
23,north,5,12
23,north,7,7.2
23,north,9,7.2
23,north,11,3.6
23,north,13,1.8
23,north,15,1.2
24,north,3,12
24,north,5,12
24,north,7,10.8
24,north,9,6
24,north,11,6
24,north,13,1.2
24,north,15,1.2
