experimenter	participant	direction	slab	hoop_size	inhoop
NG	1	South	3	small	9
NG	1	South	7	large	5
NG	1	South	9	small	2
NG	1	South	11	large	3
NG	1	South	15	small	1
NG	1	South	20	large	0
NG	1	North	7	small	1
NG	1	North	9	large	3
NG	1	North	11	small	0
NG	1	North	15	large	2
NG	1	North	19	small	0
NG	1	North	25	large	1
NG	1	South	7	small	2
NG	1	South	9	large	4
NG	1	South	11	small	1
NG	1	South	15	large	1
NG	1	South	19	small	0
NG	1	South	25	large	0
NG	1	North	3	small	7
NG	1	North	7	large	9
NG	1	North	9	small	1
NG	1	North	11	large	2
NG	1	North	15	small	0
NG	1	North	20	large	1
NG	2	South	3	small	9
NG	2	South	7	large	9
NG	2	South	9	small	4
NG	2	South	11	large	5
NG	2	South	15	small	0
NG	2	South	20	large	1
NG	2	North	7	small	5
NG	2	North	9	large	6
NG	2	North	11	small	2
NG	2	North	15	large	0
NG	2	North	19	small	1
NG	2	North	25	large	0
NG	2	South	7	small	5
NG	2	South	9	large	6
NG	2	South	11	small	1
NG	2	South	15	large	2
NG	2	South	19	small	0
NG	2	South	25	large	1
NG	2	North	3	small	9
NG	2	North	7	large	7
NG	2	North	9	small	4
NG	2	North	11	large	5
NG	2	North	15	small	2
NG	2	North	20	large	1
NG	3	South	3	small	9
NG	3	South	7	large	6
NG	3	South	9	small	2
NG	3	South	11	large	8
NG	3	South	15	small	0
NG	3	South	20	large	1
NG	3	North	7	small	6
NG	3	North	9	large	2
NG	3	North	11	small	4
NG	3	North	15	large	2
NG	3	North	19	small	2
NG	3	North	25	large	2
NG	3	South	7	small	4
NG	3	South	9	large	3
NG	3	South	11	small	3
NG	3	South	15	large	3
NG	3	South	19	small	3
NG	3	South	25	large	0
NG	3	North	3	small	9
NG	3	North	7	large	9
NG	3	North	9	small	4
NG	3	North	11	large	6
NG	3	North	15	small	0
NG	3	North	20	large	1
CS	1	South	3	small	9
CS	1	South	7	large	9
CS	1	South	9	small	4
CS	1	South	11	large	3
CS	1	South	15	small	1
CS	1	South	20	large	0
CS	1	North	7	small	8
CS	1	North	9	large	2
CS	1	North	11	small	2
CS	1	North	15	large	0
CS	1	North	19	small	1
CS	1	North	25	large	0
CS	1	North	3	small	9
CS	1	North	7	large	9
CS	1	North	9	small	1
CS	1	North	11	large	4
CS	1	North	15	small	2
CS	1	North	20	large	1
CS	1	South	7	small	4
CS	1	South	9	large	6
CS	1	South	11	small	1
CS	1	South	15	large	0
CS	1	South	19	small	1
CS	1	South	25	large	0
CS	2	South	3	small	9
CS	2	South	7	large	4
CS	2	South	9	small	3
CS	2	South	11	large	4
CS	2	South	15	small	0
CS	2	South	20	large	0
CS	2	North	7	small	6
CS	2	North	9	large	3
CS	2	North	11	small	2
CS	2	North	15	large	3
CS	2	North	19	small	1
CS	2	North	25	large	0
CS	2	North	3	small	9
CS	2	North	7	large	8
CS	2	North	9	small	4
CS	2	North	11	large	5
CS	2	North	15	small	1
CS	2	North	20	large	0
CS	2	South	7	small	3
CS	2	South	9	large	6
CS	2	South	11	small	2
CS	2	South	15	large	7
CS	2	South	19	small	0
CS	2	South	25	large	0
JR	1	South	3	small	9
JR	1	South	7	large	7
JR	1	South	9	small	2
JR	1	South	11	large	3
JR	1	South	15	small	0
JR	1	South	20	large	0
JR	1	North	7	small	5
JR	1	North	9	large	4
JR	1	North	11	small	0
JR	1	North	15	large	0
JR	1	North	19	small	0
JR	1	North	25	large	0
JR	1	South	3	small	4
JR	1	South	7	large	7
JR	1	South	9	small	3
JR	1	South	11	large	2
JR	1	South	15	small	0
JR	1	South	20	large	0
JR	1	North	7	small	8
JR	1	North	9	large	7
JR	1	North	11	small	5
JR	1	North	15	large	4
JR	1	North	19	small	0
JR	1	North	25	large	0
JR	2	South	3	small	9
JR	2	South	7	large	6
JR	2	South	9	small	2
JR	2	South	11	large	5
JR	2	South	15	small	1
JR	2	South	20	large	0
JR	2	North	7	small	3
JR	2	North	9	large	7
JR	2	North	11	small	3
JR	2	North	15	large	1
JR	2	North	19	small	0
JR	2	North	25	large	0
JR	2	South	3	small	2
JR	2	South	7	large	7
JR	2	South	9	small	3
JR	2	South	11	large	5
JR	2	South	15	small	1
JR	2	South	20	large	0
JR	2	North	7	small	5
JR	2	North	9	large	7
JR	2	North	11	small	5
JR	2	North	15	large	4
JR	2	North	19	small	2
JR	2	North	25	large	2
FP	1	South	3	small	9
FP	1	South	7	large	9
FP	1	South	9	small	2
FP	1	South	11	large	3
FP	1	South	15	small	1
FP	1	South	20	large	0
FP	1	North	7	small	5
FP	1	North	9	large	4
FP	1	North	11	small	3
FP	1	North	15	large	3
FP	1	North	19	small	1
FP	1	North	25	large	0
FP	1	North	3	small	9
FP	1	North	7	large	7
FP	1	North	9	small	3
FP	1	North	11	large	5
FP	1	North	15	small	1
FP	1	North	20	large	2
FP	1	South	7	small	4
FP	1	South	9	large	5
FP	1	South	11	small	2
FP	1	South	15	large	3
FP	1	South	19	small	0
FP	1	South	25	large	0
FP	2	South	3	small	9
FP	2	South	7	large	9
FP	2	South	9	small	4
FP	2	South	11	large	5
FP	2	South	15	small	0
FP	2	South	20	large	0
FP	2	North	7	small	6
FP	2	North	9	large	7
FP	2	North	11	small	3
FP	2	North	15	large	1
FP	2	North	19	small	1
FP	2	North	25	large	0
FP	2	North	3	small	9
FP	2	North	7	large	9
FP	2	North	9	small	1
FP	2	North	11	large	5
FP	2	North	15	small	1
FP	2	North	20	large	0
FP	2	South	7	small	2
FP	2	South	9	large	7
FP	2	South	11	small	3
FP	2	South	15	large	2
FP	2	South	19	small	0
FP	2	South	25	large	1
JR	3	South	3	small	9
JR	3	South	7	large	9
JR	3	South	9	small	7
JR	3	South	11	large	4
JR	3	South	15	small	1
JR	3	South	20	large	2
JR	3	North	7	small	4
JR	3	North	9	large	7
JR	3	North	11	small	6
JR	3	North	15	large	4
JR	3	North	19	small	0
JR	3	North	25	large	2
JR	3	South	3	small	6
JR	3	South	7	large	3
JR	3	South	9	small	1
JR	3	South	11	large	5
JR	3	South	15	small	1
JR	3	South	20	large	0
