experimenter	participant	trial	colour	direction	subject_position	accuracy	R 	Y 	B	B_N_Size	Y_N_Size	R_N_Size
JR	2	1	B	South	9	1	5.5	10.5	12.5	large	small	large
JR	2	2	Y	South	8	1	5.5	10.5	12.5	large	small	large
JR	2	3	R	North	2	1	5.5	10.5	12.5	large	small	large
JR	2	4	B	South	6	1	5.5	10.5	12.5	large	small	large
JR	2	5	Y	South	-1	0	5.5	10.5	12.5	large	small	large
JR	2	6	R	North	2	1	5.5	10.5	12.5	large	small	large
JR	2	7	B	South	-8	0	5.5	10.5	12.5	large	small	large
JR	2	8	R	South	2	1	5.5	10.5	12.5	large	small	large
JR	2	9	Y	North	-2	1	5.5	10.5	12.5	large	small	large
JR	2	10	R	South	2	1	5.5	10.5	12.5	large	small	large
JR	2	11	B	South	8	1	5.5	10.5	12.5	large	small	large
JR	2	12	Y	South	-4	1	5.5	10.5	12.5	large	small	large
JR	2	13	B	North	-4	1	5.5	10.5	12.5	large	small	large
JR	2	14	R	South	2	0	5.5	10.5	12.5	large	small	large
JR	2	15	Y	South	-3	0	5.5	10.5	12.5	large	small	large
JR	2	16	B	North	8	0	5.5	10.5	12.5	large	small	large
JR	2	17	R	South	1	1	5.5	10.5	12.5	large	small	large
JR	2	18	Y	South	-4	0	5.5	10.5	12.5	large	small	large
JR	2	19	R	North	2	1	5.5	10.5	12.5	large	small	large
JR	2	20	Y	South	-7	1	5.5	10.5	12.5	large	small	large
JR	2	21	B	North	-9	0	5.5	10.5	12.5	large	small	large
JR	2	22	B	South	-9	0	5.5	10.5	12.5	large	small	large
JR	2	23	Y	South	-4	1	5.5	10.5	12.5	large	small	large
JR	2	24	R	South	1	0	5.5	10.5	12.5	large	small	large
JR	2	25	B	North	4	1	5.5	10.5	12.5	large	small	large
JR	2	26	Y	North	-4	1	5.5	10.5	12.5	large	small	large
JR	2	27	R	South	1	1	5.5	10.5	12.5	large	small	large
JR	2	28	Y	North	-3	1	5.5	10.5	12.5	large	small	large
JR	2	29	R	South	1	1	5.5	10.5	12.5	large	small	large
JR	2	30	B	South	8	0	5.5	10.5	12.5	large	small	large
JR	2	31	Y	South	-3	0	5.5	10.5	12.5	large	small	large
JR	2	32	B	South	-4	1	5.5	10.5	12.5	large	small	large
JR	2	33	y	North	-3	1	5.5	10.5	12.5	large	small	large
JR	2	34	R	South	1	1	5.5	10.5	12.5	large	small	large
JR	2	35	B	North	-4	1	5.5	10.5	12.5	large	small	large
JR	2	36	R	South	2	1	5.5	10.5	12.5	large	small	large
JR	2	37	R	South	2	0	5.5	10.5	12.5	large	small	large
JR	2	38	B	North	8	1	5.5	10.5	12.5	large	small	large
JR	2	39	Y	North	-4	1	5.5	10.5	12.5	large	small	large
JR	2	40	B	South	4	1	5.5	10.5	12.5	large	small	large
JR	2	41	R	South	2	1	5.5	10.5	12.5	large	small	large
JR	2	42	Y	South	-4	1	5.5	10.5	12.5	large	small	large
