"participant"	"block"	"direction"	"directionNS"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"2"	"South"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"2"	"South"
"AM_1"	1	"1"	"North"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"2"	"South"
"AM_1"	1	"1"	"North"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"2"	"South"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	1	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"2"	"South"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"2"	"South"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_1"	2	"1"	"North"
"AM_1"	2	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"1"	"North"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"2"	"South"
"AM_2"	1	"1"	"North"
"AM_2"	1	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"1"	"North"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"2"	"South"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_2"	2	"2"	"South"
"AM_2"	2	"2"	"South"
"AM_2"	2	"2"	"South"
"AM_2"	2	"1"	"North"
"AM_2"	2	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	1	"1"	"North"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	1	"1"	"North"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	1	"1"	"North"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	1	"1"	"North"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	1	"1"	"North"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	1	"1"	"North"
"AM_3"	1	"1"	"North"
"AM_3"	1	"1"	"North"
"AM_3"	1	"1"	"North"
"AM_3"	1	"2"	"South"
"AM_3"	1	"2"	"South"
"AM_3"	1	"1"	"North"
"AM_3"	2	"1"	"North"
"AM_3"	2	"2"	"South"
"AM_3"	2	"1"	"North"
"AM_3"	2	"2"	"South"
"AM_3"	2	"1"	"North"
"AM_3"	2	"1"	"North"
"AM_3"	2	"2"	"South"
"AM_3"	2	"2"	"South"
"AM_3"	2	"2"	"South"
"AM_3"	2	"2"	"South"
"AM_3"	2	"2"	"South"
"AM_3"	2	"1"	"North"
"AM_3"	2	"2"	"South"
"AM_3"	2	"1"	"North"
"AM_3"	2	"2"	"South"
"AM_3"	2	"1"	"North"
"AM_3"	2	"2"	"South"
"AM_3"	2	"1"	"North"
"AM_3"	2	"1"	"North"
"AM_3"	2	"1"	"North"
"AM_3"	2	"2"	"South"
"AM_3"	2	"2"	"South"
"AM_3"	2	"2"	"South"
"AM_3"	2	"2"	"South"
"AM_3"	2	"2"	"South"
"AM_3"	2	"2"	"South"
"AM_3"	2	"1"	"North"
"AM_3"	2	"1"	"North"
"AM_3"	2	"2"	"South"
"AM_3"	2	"1"	"North"
"AM_3"	2	"1"	"North"
