Participant,slabhard,slab50,slabeasy,minus1,plus1,plus2
CP1,0.153846154,0.7,0.555555556,0.615384615,0.5,0.307692308
CP2,0.230769231,0.454545455,0.692307692,0.583333333,0.636363636,0.416666667
CP3,0.066666667,0.125,0.4,0.357142857,0.583333333,0
EM1,0.416666667,0.583333333,0.916666667,0.416666667,0.5,0.083333333
EM2,0.5,0.583333333,0.916666667,0.416666667,0.5,0.416666667
EM3,0.083333333,0.416666667,0.833333333,0.416666667,0.333333333,0.25
EM4,0.166666667,0.416666667,1,0.583333333,0.5,0.333333333
EMC1,0.230769231,0.272727273,0.583333333,0.25,0.166666667,0.25
EMC2,0.272727273,0.416666667,0.833333333,0.5,0.333333333,0.153846154
EMC3,0.3125,0.2,0.75,0.416666667,0.166666667,0.2
IS1,0.333333333,0.384615385,0.769230769,0.545454545,0.416666667,0.181818182
IS2,0.333333333,0.5,0.818181818,0.416666667,0.307692308,0.727272727
IS3,0.5,0.75,0.916666667,0.75,0.5,0.5
SJ1,0.083333333,0.166666667,1,0.333333333,0.416666667,0.25
SJ2,0.583333333,0.5,0.583333333,0.333333333,0.25,0.583333333
ZW1,0.363636364,0.846153846,0.866666667,0.5,0.545454545,0.75
ZW2,0,0.357142857,0.666666667,0.153846154,0.285714286,0.333333333
ZW3,0.363636364,0.666666667,0.916666667,0.75,0.666666667,0.384615385
