Participant,slabhard,slab50,slabeasy,minus1,plus1,plus2
CP1,0,0,0,0,0,0
CP2,0,0,0,0,0,0
CP3,0,0,0.1,0.031746032,0.03030303,0
EM1,0.333333333,0.222222222,0.027777778,0.181818182,0.269230769,0.214285714
EM2,0.393518519,0.430555556,0,0.015151515,0.076923077,0.43452381
EM3,0,0,0,0,0,0
EM4,0.137254902,0.212121212,0.277777778,0.166666667,0.138888889,0.179487179
EMC1,0.128205128,0.136363636,0.333333333,0.296296296,0.28030303,0.138888889
EMC2,0.136363636,0.148148148,0.383333333,0.333333333,0.4,0.090909091
EMC3,0.208333333,0.58,0.266666667,0.148148148,0.121212121,0.3
IS1,0.019230769,0.008547009,0,0,0,0
IS2,0.905982906,0.805555556,0.954545455,0.677083333,0.638461538,0.776859504
IS3,0.756944444,0,0,0.773809524,0.953703704,0.691666667
SJ1,0,0,0,0,0,0
SJ2,1.078125,1.083333333,0.847222222,0.658333333,0.527777778,1.064102564
ZW1,0,0,0.033333333,0.071428571,0.070707071,0
ZW2,0.152380952,0.192857143,0.488888889,0.290598291,0.168831169,0.094444444
ZW3,0.254545455,0.2,0.833333333,0.351851852,0.409090909,0.371794872
