Participant,slabhard,slab50,slabeasy,minus1,plus1,plus2
CP1,0.384615385,0.583333333,0.708333333,0.535714286,0.55,0.545454545
CP2,0.375,0.25,0.708333333,0.535714286,0.55,0.125
CP3,0.136363636,0.307692308,0.55,0.384615385,0.307692308,0.166666667
EM1,0.363636364,0.5,0.958333333,0.583333333,0.291666667,0.346153846
EM2,0.291666667,0.458333333,0.833333333,0.375,0.5,0.458333333
EM3,0.208333333,0.458333333,0.541666667,0.416666667,0.416666667,0.291666667
EM4,0.166666667,0.458333333,0.958333333,0.5,0.458333333,0.416666667
EMC1,0.192307692,0.423076923,0.708333333,0.333333333,0.166666667,0.25
EMC2,0.05,0.285714286,0.923076923,0.5,0.291666667,0.25
EMC3,0.192307692,0.318181818,0.75,0.5,0.433333333,0.375
IS1,0.333333333,0.384615385,0.8,0.615384615,0.458333333,0.227272727
IS2,0.222222222,0.5,0.954545455,0.666666667,0.45,0.214285714
IS3,0.5,0.5,1,0.75,0.357142857,0.5
SJ1,0.166666667,0.333333333,0.833333333,0.416666667,0.458333333,0.208333333
SJ2,0.166666667,0.291666667,0.625,0.375,0.208333333,0.25
ZW1,0.285714286,0.681818182,0.916666667,0.636363636,0.653846154,0.5
ZW2,0.111111111,0.321428571,0.636363636,0.4,0.133333333,0.25
ZW3,0.272727273,0.541666667,0.866666667,0.772727273,0.3,0.5
