Participant,slabhard,slab50,slabeasy,minus1,plus1,plus2
CP1,0.5,0.5,0.786514792,0.510882017,0.5,0.5
CP2,0.5,0.496289176,0.826467076,0.574511867,0.5,0.5
CP3,0.5,0.5,0.786514792,0.510882017,0.5,0.5
EM1,0.5,0.5,0.853919743,0.547368701,0.5,0.5
EM2,0.5,0.479809363,0.859356686,0.558313621,0.5,0.5
EM3,0.5,0.5,0.823364588,0.490919752,0.5,0.5
EM4,0.5,0.51457588,0.836710898,0.592291705,0.5,0.5
EMC1,0.5,0.464266366,0.80728396,0.542881554,0.5,0.5
EMC2,0.5,0.467918999,0.756209371,0.546521732,0.5,0.5
EMC3,0.5,0.485594713,0.820243664,0.564019218,0.5,0.5
IS1,0.5,0.5,0.773701784,0.492206581,0.5,0.5
IS2,0.5,0.5,0.795838326,0.524972907,0.5,0.5
IS3,0.5,0.503180201,0.781295172,0.581235728,0.5,0.5
SJ1,0.5,0.503684056,0.830668546,0.581726225,0.5,0.5
SJ2,0.5,0.5,0.798074655,0.528418105,0.5,0.5
ZW1,0.5,0.481189289,0.765886988,0.55967641,0.5,0.5
ZW2,0.5,0.464266366,0.80728396,0.542881554,0.5,0.5
ZW3,0.5,0.474918384,0.813850346,0.553473844,0.5,0.5
