Participant,slabhard,slab50,slabeasy,minus1,plus1,plus2
CP1,0,0,0,0,0,0
CP2,0,0,0,0,0,0
CP3,0,0,0,0,0,0
EM1,0.320855615,0.236111111,0,0.015151515,0.025641026,0.285714286
EM2,0.273148148,0,0,0.007575758,0.294871795,0.101190476
EM3,0,0,0,0,0,0
EM4,0.029411765,0.045454545,0.111111111,0.066666667,0.055555556,0.038461538
EMC1,0.179487179,0.338461538,0.05,0.027777778,0.015151515,0.25
EMC2,0.042857143,0.095238095,0.061538462,0.193181818,0.333333333,0.022727273
EMC3,0.256410256,0.327272727,0.06,0.080808081,0.042424242,0.222222222
IS1,0,0,0,0,0,0
IS2,0.324786325,0.358974359,0.363636364,0.583333333,0.65,0.285714286
IS3,0.897435897,1.090909091,0,0.071428571,0.023809524,0.933333333
SJ1,0.107843137,0.090909091,0,0.066666667,0.055555556,0.076923077
SJ2,0.020833333,0.015151515,0.111111111,0.041666667,0.048611111,0.025641026
ZW1,0,0,0,0,0,0
ZW2,0.274074074,0.385714286,0.472727273,0.266666667,0.242424242,0.3125
ZW3,0.254545455,0.333333333,0.56,0.363636364,0.236363636,0.230769231
