Participant,Trial no.,Colour,Position,North Accuracy,South Accuracy,R,Y,B
ZW1,1,blue,20,hit,hit,4,7,9
ZW1,2,yellow,20,miss,hit,4,7,9
ZW1,3,red,20,miss,hit,4,7,9
ZW1,4,blue,20,miss,hit,4,7,9
ZW1,5,red,20,miss,hit,4,7,9
ZW1,6,yellow,20,hit,hit,4,7,9
ZW1,7,red,20,hit,hit,4,7,9
ZW1,8,blue,20,hit,hit,4,7,9
ZW1,9,yellow,20,miss,hit,4,7,9
ZW1,10,blue,20,hit,miss,4,7,9
ZW1,11,yellow,20,hit,hit,4,7,9
ZW1,12,blue,20,hit,miss,4,7,9
ZW1,13,red,20,hit,hit,4,7,9
ZW1,14,yellow,20,hit,hit,4,7,9
ZW1,15,blue,20,hit,miss,4,7,9
ZW1,16,red,20,hit,hit,4,7,9
ZW1,17,blue,20,miss,hit,4,7,9
ZW1,18,yellow,20,hit,hit,4,7,9
ZW1,19,red,20,hit,hit,4,7,9
ZW1,20,yellow,20,hit,miss,4,7,9
ZW1,21,blue,20,hit,hit,4,7,9
ZW1,22,red,20,hit,hit,4,7,9
ZW1,23,blue,20,miss,miss,4,7,9
ZW1,24,yellow,20,miss,miss,4,7,9
ZW1,25,yellow,20,miss,hit,4,7,9
ZW1,26,red,20,hit,hit,4,7,9
ZW1,27,red,20,hit,hit,4,7,9
ZW1,28,blue,20,miss,hit,4,7,9
ZW1,29,yellow,20,miss,hit,4,7,9
ZW1,30,red,20,hit,hit,4,7,9
ZW1,31,blue,20,miss,hit,4,7,9
ZW1,32,red,20,hit,hit,4,7,9
ZW1,33,blue,20,hit,hit,4,7,9
ZW1,34,yellow,20,hit,miss,4,7,9
ZW1,35,blue,20,hit,hit,4,7,9
ZW1,36,red,20,hit,hit,4,7,9
ZW1,1,blue,20,miss,miss,8,10,12
ZW1,2,red,20,hit,hit,8,10,12
ZW1,3,yellow,20,miss,miss,8,10,12
ZW1,4,red,20,miss,miss,8,10,12
ZW1,5,yellow,20,hit,hit,8,10,12
ZW1,6,blue,20,miss,miss,8,10,12
ZW1,7,red,20,miss,hit,8,10,12
ZW1,8,red,20,hit,miss,8,10,12
ZW1,9,blue,20,miss,hit,8,10,12
ZW1,10,yellow,20,miss,miss,8,10,12
ZW1,11,blue,20,miss,hit,8,10,12
ZW1,12,blue,20,miss,miss,8,10,12
ZW1,13,yellow,20,miss,hit,8,10,12
ZW1,14,yellow,20,hit,hit,8,10,12
ZW1,15,red,20,hit,hit,8,10,12
ZW1,16,red,20,hit,miss,8,10,12
ZW1,17,blue,20,miss,hit,8,10,12
ZW1,18,blue,20,hit,miss,8,10,12
ZW1,19,yellow,20,miss,miss,8,10,12
ZW1,20,red,20,hit,hit,8,10,12
ZW1,21,blue,20,hit,miss,8,10,12
ZW1,22,yellow,20,hit,miss,8,10,12
ZW1,23,blue,20,hit,hit,8,10,12
ZW1,24,yellow,20,miss,hit,8,10,12
ZW1,25,blue,20,miss,miss,8,10,12
ZW1,26,red,20,hit,hit,8,10,12
ZW1,27,blue,20,miss,miss,8,10,12
ZW1,28,blue,20,miss,miss,8,10,12
ZW1,29,yellow,20,hit,hit,8,10,12
ZW1,30,red,20,hit,miss,8,10,12
ZW1,31,blue,20,hit,miss,8,10,12
ZW1,32,yellow,20,hit,miss,8,10,12
ZW1,33,blue,20,miss,miss,8,10,12
ZW1,34,yellow,20,miss,hit,8,10,12
ZW1,35,red,20,miss,hit,8,10,12
ZW1,36,red,20,hit,hit,8,10,12
ZW2,1,yellow,17,miss,miss,10,12,15
ZW2,2,red,18,miss,miss,10,12,15
ZW2,3,blue,18,hit,miss,10,12,15
ZW2,4,red,24,miss,hit,10,12,15
ZW2,5,red,26,miss,hit,10,12,15
ZW2,6,red,20,miss,miss,10,12,15
ZW2,7,blue,16,miss,miss,10,12,15
ZW2,8,blue,18,miss,hit,10,12,15
ZW2,9,blue,24,miss,miss,10,12,15
ZW2,10,blue,18,miss,miss,10,12,15
ZW2,11,red,16,miss,miss,10,12,15
ZW2,12,blue,22,miss,miss,10,12,15
ZW2,13,red,18,hit,miss,10,12,15
ZW2,14,blue,24,miss,miss,10,12,15
ZW2,15,red,18,miss,miss,10,12,15
ZW2,16,red,14,hit,miss,10,12,15
ZW2,17,blue,26,miss,hit,10,12,15
ZW2,18,blue,26,miss,miss,10,12,15
ZW2,19,red,16,miss,miss,10,12,15
ZW2,20,blue,22,miss,miss,10,12,15
ZW2,21,red,16,hit,hit,10,12,15
ZW2,22,blue,16,miss,miss,10,12,15
ZW2,23,red,24,miss,miss,10,12,15
ZW2,24,blue,24,miss,miss,10,12,15
ZW2,25,yellow,14,hit,miss,10,12,15
ZW2,26,blue,26,miss,hit,10,12,15
ZW2,27,blue,16,miss,miss,10,12,15
ZW2,28,blue,26,miss,miss,10,12,15
ZW2,29,yellow,16,hit,miss,10,12,15
ZW2,30,red,16,hit,miss,10,12,15
ZW2,31,blue,26,miss,miss,10,12,15
