"Participant"	"slabhard"	"slab50"	"slabeasy"	"minus1"	"plus1"	"plus2"
"1"	"CP1"	0.153846153846154	0.7	0.555555555555556	0.615384615384615	0.5	0.307692307692308
"2"	"CP2"	0.230769230769231	0.454545454545455	0.692307692307692	0.583333333333333	0.636363636363636	0.416666666666667
"3"	"CP3"	0.0666666666666667	0.125	0.4	0.357142857142857	0.583333333333333	0
"4"	"EM1"	0.416666666666667	0.583333333333333	0.916666666666667	0.416666666666667	0.5	0.0833333333333333
"5"	"EM2"	0.5	0.583333333333333	0.916666666666667	0.416666666666667	0.5	0.416666666666667
"6"	"EM3"	0.0833333333333333	0.416666666666667	0.833333333333333	0.416666666666667	0.333333333333333	0.25
"7"	"EM4"	0.166666666666667	0.416666666666667	1	0.583333333333333	0.5	0.333333333333333
"8"	"EMC1"	0.230769230769231	0.272727272727273	0.583333333333333	0.25	0.166666666666667	0.25
"9"	"EMC2"	0.272727272727273	0.416666666666667	0.833333333333333	0.5	0.333333333333333	0.153846153846154
"10"	"EMC3"	0.3125	0.2	0.75	0.416666666666667	0.166666666666667	0.2
"11"	"IS1"	0.333333333333333	0.384615384615385	0.769230769230769	0.545454545454545	0.416666666666667	0.181818181818182
"12"	"IS2"	0.333333333333333	0.5	0.818181818181818	0.416666666666667	0.307692307692308	0.727272727272727
"13"	"IS3"	0.5	0.75	0.916666666666667	0.75	0.5	0.5
"14"	"SJ1"	0.0833333333333333	0.166666666666667	1	0.333333333333333	0.416666666666667	0.25
"15"	"SJ2"	0.583333333333333	0.5	0.583333333333333	0.333333333333333	0.25	0.583333333333333
"16"	"ZW1"	0.363636363636364	0.846153846153846	0.866666666666667	0.5	0.545454545454545	0.75
"17"	"ZW2"	0	0.357142857142857	0.666666666666667	0.153846153846154	0.285714285714286	0.333333333333333
"18"	"ZW3"	0.363636363636364	0.666666666666667	0.916666666666667	0.75	0.666666666666667	0.384615384615385
