"Participant"	"slabhard"	"slab50"	"slabeasy"	"minus1"	"plus1"	"plus2"
"1"	"CP1"	0.5	0.5	0.786514792205895	0.510882017052506	0.5	0.5
"2"	"CP2"	0.5	0.496289176364371	0.826467075776105	0.574511866510671	0.5	0.5
"3"	"CP3"	0.5	0.5	0.786514792205895	0.510882017052506	0.5	0.5
"4"	"EM1"	0.5	0.5	0.853919743092272	0.547368701476948	0.5	0.5
"5"	"EM2"	0.5	0.479809362747613	0.859356685868191	0.558313621253884	0.5	0.5
"6"	"EM3"	0.5	0.5	0.82336458840311	0.490919751844913	0.5	0.5
"7"	"EM4"	0.5	0.51457587979633	0.836710897793638	0.59229170520248	0.5	0.5
"8"	"EMC1"	0.5	0.464266365544332	0.807283959749024	0.542881553990451	0.5	0.5
"9"	"EMC2"	0.5	0.467918998703238	0.756209371377056	0.546521732220367	0.5	0.5
"10"	"EMC3"	0.5	0.485594713065265	0.820243664085873	0.564019218202564	0.5	0.5
"11"	"IS1"	0.5	0.5	0.773701784272433	0.49220658084661	0.5	0.5
"12"	"IS2"	0.5	0.5	0.79583832596442	0.524972907241781	0.5	0.5
"13"	"IS3"	0.5	0.503180201245574	0.781295172255904	0.581235727791301	0.5	0.5
"14"	"SJ1"	0.5	0.503684056403725	0.830668546070942	0.581726225378456	0.5	0.5
"15"	"SJ2"	0.5	0.5	0.798074655385729	0.528418104629309	0.5	0.5
"16"	"ZW1"	0.5	0.481189289450634	0.765886988424821	0.559676410016547	0.5	0.5
"17"	"ZW2"	0.5	0.464266365544332	0.807283959749024	0.542881553990451	0.5	0.5
"18"	"ZW3"	0.5	0.474918384226679	0.813850346234979	0.553473844256982	0.5	0.5
