"Participant"	"slabhard"	"slab50"	"slabeasy"	"minus1"	"plus1"	"plus2"
"1"	"CP1"	0	0	0	0	0	0
"2"	"CP2"	0	0	0	0	0	0
"3"	"CP3"	0	0	0	0	0	0
"4"	"EM1"	0.320855614973262	0.236111111111111	0	0.0151515151515152	0.0256410256410256	0.285714285714286
"5"	"EM2"	0.273148148148148	0	0	0.00757575757575758	0.294871794871795	0.101190476190476
"6"	"EM3"	0	0	0	0	0	0
"7"	"EM4"	0.0294117647058824	0.0454545454545454	0.111111111111111	0.0666666666666667	0.0555555555555556	0.0384615384615385
"8"	"EMC1"	0.179487179487179	0.338461538461538	0.05	0.0277777777777778	0.0151515151515152	0.25
"9"	"EMC2"	0.0428571428571429	0.0952380952380952	0.0615384615384615	0.193181818181818	0.333333333333333	0.0227272727272727
"10"	"EMC3"	0.256410256410256	0.327272727272727	0.06	0.0808080808080808	0.0424242424242424	0.222222222222222
"11"	"IS1"	0	0	0	0	0	0
"12"	"IS2"	0.324786324786325	0.358974358974359	0.363636363636364	0.583333333333333	0.65	0.285714285714286
"13"	"IS3"	0.897435897435897	1.09090909090909	0	0.0714285714285714	0.0238095238095238	0.933333333333333
"14"	"SJ1"	0.107843137254902	0.0909090909090909	0	0.0666666666666667	0.0555555555555556	0.0769230769230769
"15"	"SJ2"	0.0208333333333333	0.0151515151515152	0.111111111111111	0.0416666666666667	0.0486111111111111	0.0256410256410256
"16"	"ZW1"	0	0	0	0	0	0
"17"	"ZW2"	0.274074074074074	0.385714285714286	0.472727272727273	0.266666666666667	0.242424242424242	0.3125
"18"	"ZW3"	0.254545454545455	0.333333333333333	0.56	0.363636363636364	0.236363636363636	0.230769230769231
