Block	 Trial	Color	Direction	SubjectPosition	Accuracy
1 	1	B	South	20	0
1 	2	Y	South	21	0
1 	3	Y	North	22	1
1 	4	R	North	22	1
1 	5	R	South	20	1
1 	6	R	North	17	1
1 	7	R	North	16	1
1 	8	B	North	15	0
1 	9	B	North	16	0
1 	10	Y	South	20	0
1 	11	R	South	23	0
1 	12	R	South	25	1
1 	13	R	South	29	0
1 	14	R	South	13	1
1 	15	Y	South	14	1
1 	16	Y	South	15	1
1 	17	B	North	16	0
1 	18	B	South	18	0
1 	19	Y	North	21	1
1 	20	Y	North	20	0
1 	21	R	North	23	1
1 	22	Y	North	25	1
1 	23	R	South	27	1
1 	24	Y	South	29	0
1 	25	B	South	28	0
1 	26	B	North	22	1
1 	27	R	South	11	1
1 	28	B	North	9	0
1 	29	R	North	14	0
1 	30	B	South	18	1
1 	31	Y	North	20	0
1 	32	B	North	20	1
1 	33	Y	North	20	1
1 	34	B	South	18	0
1 	35	R	North	19	1
1 	36	R	North	20	1
1 	37	B	North	22	0
1 	38	R	South	20	1
1 	39	B	North	15	0
1 	40	R	North	31	1
1 	41	Y	South	29	1
1 	42	Y	North	27	1
1 	43	B	South	18	1
1 	44	B	South	17	1
1 	45	Y	North	15	0
1 	46	Y	South	15	1
1 	47	Y	South	15	1
1 	48	B	South	15	1
2 	1	B	South	20	0
2 	2	Y	South	21	0
2 	3	Y	North	22	1
2 	4	R	North	22	1
2 	5	R	South	20	1
2 	6	R	North	17	1
2 	7	R	North	16	1
2 	8	B	North	15	0
2 	9	B	North	16	0
2 	10	Y	South	20	0
2 	11	R	South	23	0
2 	12	R	South	25	1
2 	13	R	South	29	0
2 	14	R	South	13	1
2 	15	Y	South	14	1
2 	16	Y	South	15	1
2 	17	B	North	16	0
2 	18	B	South	18	0
2 	19	Y	North	21	1
2 	20	Y	North	20	0
2 	21	R	North	23	1
2 	22	Y	North	25	1
2 	23	R	South	27	1
2 	24	Y	South	29	0
2 	25	B	South	28	0
2 	26	B	North	22	1
2 	27	R	South	11	1
2 	28	B	North	9	0
2 	29	R	North	14	0
2 	30	B	South	18	1
2 	31	Y	North	20	0
2 	32	B	North	20	1
2 	33	Y	North	20	1
2 	34	B	South	18	0
2 	35	R	North	19	1
2 	36	R	North	20	1
2 	37	B	North	22	0
2 	38	R	South	20	1
2 	39	B	North	15	0
2 	40	R	North	31	1
2 	41	Y	South	29	1
2 	42	Y	North	27	1
2 	43	B	South	18	1
2 	44	B	South	17	1
2 	45	Y	North	15	0
2 	46	Y	South	15	1
2 	47	Y	South	15	1
2 	48	B	South	15	1
