Block	 Trial	Color	Direction	SubjectPosition	Accuracy
1 	1	Y	North	20	0
1 	2	R	South	20	1
1 	3	B	South	17	1
1 	4	R	North	20	1
1 	5	R	South	20	1
1 	6	B	South	23	0
1 	7	R	South	20	0
1 	8	Y	South	20	1
1 	9	R	South	20	0
1 	10	Y	North	20	0
1 	11	B	South	20	0
1 	12	R	North	20	1
1 	13	R	North	20	1
1 	14	R	South	20	1
1 	15	Y	North	20	0
1 	16	Y	South	20	1
1 	17	Y	North	20	1
1 	18	B	South	18	0
1 	19	Y	South	21	0
1 	20	R	South	21	0
1 	21	R	South	20	1
1 	22	Y	North	20	1
1 	23	R	North	20	1
1 	24	R	North	20	1
1 	25	Y	South	20	0
1 	26	B	North	17	0
1 	27	R	North	20	1
1 	28	Y	South	20	1
1 	29	Y	North	20	1
1 	30	B	South	20	0
1 	31	B	South	20	0
1 	32	B	North	23	1
1 	33	Y	South	20	1
1 	34	B	North	17	0
1 	35	Y	North	20	1
1 	36	Y	North	20	1
1 	37	R	North	20	0
1 	38	B	North	23	0
1 	39	B	North	23	1
1 	40	Y	South	20	1
1 	41	B	South	17	1
1 	42	B	North	18	0
1 	43	Y	South	20	1
1 	44	R	South	20	0
1 	45	B	North	23	1
1 	46	R	North	20	1
1 	47	B	North	17	1
1 	48	B	South	21	0
2 	1	R	South	20	1
2 	2	Y	North	20	1
2 	3	Y	North	20	1
2 	4	Y	South	20	0
2 	5	R	South	20	1
2 	6	R	South	20	1
2 	7	B	North	20	0
2 	8	Y	North	20	1
2 	9	B	North	20	1
2 	10	R	South	20	1
2 	11	B	North	20	1
2 	12	R	North	20	1
2 	13	B	North	20	0
2 	14	B	North	20	0
2 	15	Y	North	20	1
2 	16	Y	South	20	0
2 	17	R	North	20	1
2 	18	Y	South	20	1
2 	19	B	South	20	1
2 	20	B	South	20	1
2 	21	Y	North	20	1
2 	22	R	North	20	1
2 	23	Y	North	20	1
2 	24	R	South	20	1
2 	25	R	North	20	1
2 	26	Y	South	20	1
2 	27	R	South	20	1
2 	28	B	North	20	0
2 	29	R	North	20	1
2 	30	Y	South	20	1
2 	31	B	North	20	0
2 	32	R	North	20	1
2 	33	B	South	20	0
2 	34	B	South	20	1
2 	35	R	North	20	1
2 	36	B	South	20	0
2 	37	Y	North	20	1
2 	38	Y	South	20	1
2 	39	R	North	20	1
2 	40	B	South	20	1
2 	41	R	South	20	1
2 	42	B	North	20	1
2 	43	B	South	20	1
2 	44	B	South	20	0
2 	45	Y	South	20	0
2 	46	Y	North	20	1
2 	47	Y	South	20	1
2 	48	R	South	20	0
