Block	 Trial	Color	Direction	SubjectPosition	Accuracy
1 	1	R	North	21	1
1 	2	Y	South	21	0
1 	3	B	North	21	0
1 	4	Y	North	22	0
1 	5	B	North	20	0
1 	6	B	North	20	0
1 	7	Y	North	20	1
1 	8	Y	North	21	1
1 	9	Y	North	20	0
1 	10	R	North	21	1
1 	11	B	South	20	0
1 	12	R	South	19	1
1 	13	Y	South	20	1
1 	14	R	South	20	0
1 	15	R	North	19	0
1 	16	Y	South	21	1
1 	17	Y	South	21	1
1 	18	R	South	19	1
1 	19	B	South	19	0
1 	20	B	North	21	0
1 	21	B	South	20	1
1 	22	Y	South	19	0
1 	23	Y	North	19	0
1 	24	Y	North	20	0
1 	25	R	South	19	1
1 	26	Y	North	18	0
1 	27	Y	South	19	0
1 	28	R	North	20	0
1 	29	B	North	20	0
1 	30	R	North	19	0
1 	31	Y	North	21	0
1 	32	B	North	19	0
1 	33	Y	South	20	0
1 	34	R	South	18	1
1 	35	B	South	19	0
1 	36	R	North	20	0
1 	37	B	South	20	0
1 	38	R	North	19	0
1 	39	B	South	21	0
1 	40	B	South	20	0
1 	41	B	North	21	0
1 	42	R	South	20	0
1 	43	R	South	19	0
1 	44	B	South	20	1
1 	45	Y	South	19	1
1 	46	R	North	18	0
1 	47	B	North	20	0
1 	48	R	South	20	1
2 	1	B	North	19	0
2 	2	Y	North	19	0
2 	3	Y	South	20	0
2 	4	R	North	19	1
2 	5	Y	North	19	0
2 	6	B	North	20	0
2 	7	B	South	20	0
2 	8	B	South	19	0
2 	9	Y	South	20	0
2 	10	B	South	20	1
2 	11	R	North	20	1
2 	12	R	South	19	1
2 	13	Y	North	19	0
2 	14	Y	North	20	0
2 	15	Y	North	20	1
2 	16	Y	South	21	0
2 	17	B	North	18	0
2 	18	Y	North	20	0
2 	19	Y	South	19	0
2 	20	R	South	20	1
2 	21	R	South	20	1
2 	22	R	South	20	1
2 	23	B	North	19	0
2 	24	R	North	20	0
2 	25	B	North	20	1
2 	26	B	North	20	0
2 	27	R	North	19	0
2 	28	Y	South	20	0
2 	29	Y	South	20	1
2 	30	R	North	20	1
2 	31	R	South	20	1
2 	32	R	South	20	1
2 	33	R	South	20	1
2 	34	B	South	20	0
2 	35	Y	North	19	0
2 	36	Y	South	19	1
2 	37	Y	North	19	0
2 	38	R	North	19	1
2 	39	Y	South	20	0
2 	40	B	North	19	0
2 	41	B	South	19	0
2 	42	B	South	19	0
2 	43	B	South	19	0
2 	44	R	North	20	1
2 	45	R	South	19	1
2 	46	B	South	19	0
2 	47	R	North	19	0
2 	48	B	North	19	0
