Block	 Trial	Color	Direction	SubjectPosition	Accuracy
1 	1	Y	North	21	1
1 	2	R	North	20	0
1 	3	R	South	18	1
1 	4	B	South	18	1
1 	5	R	North	20	1
1 	6	Y	South	18	0
1 	7	Y	North	20	0
1 	8	Y	North	19	0
1 	9	B	North	19	0
1 	10	R	North	17	0
1 	11	Y	South	17	1
1 	12	R	North	20	1
1 	13	R	North	20	0
1 	14	Y	South	18	0
1 	15	R	South	20	0
1 	16	Y	North	22	1
1 	17	B	South	17	1
1 	18	R	North	20	1
1 	19	Y	North	18	0
1 	20	Y	South	18	0
1 	21	R	South	20	0
1 	22	R	South	20	0
1 	23	Y	North	22	1
1 	24	R	South	20	1
1 	25	Y	South	22	1
1 	26	B	South	24	0
1 	27	R	South	20	1
1 	28	B	North	24	1
1 	29	Y	South	18	1
1 	30	B	North	15	0
1 	31	B	North	15	0
1 	32	Y	North	16	0
1 	33	B	South	16	1
1 	34	B	South	24	1
1 	35	B	South	24	0
1 	36	R	North	20	1
1 	37	B	North	25	0
1 	38	B	North	15	0
1 	39	B	South	15	0
1 	40	Y	South	18	1
1 	41	B	South	24	0
1 	42	R	South	20	0
1 	43	Y	South	23	1
1 	44	B	North	24	1
1 	45	R	South	20	1
1 	46	B	North	15	0
1 	47	R	North	20	1
1 	48	Y	North	17	1
2 	1	Y	North	20	0
2 	2	Y	North	19	1
2 	3	R	North	20	1
2 	4	Y	North	18	0
2 	5	B	North	17	0
2 	6	R	South	20	0
2 	7	B	South	17	1
2 	8	R	South	20	1
2 	9	Y	South	19	1
2 	10	B	South	17	1
2 	11	R	South	20	1
2 	12	R	South	20	1
2 	13	B	North	23	1
2 	14	B	North	17	0
2 	15	B	South	17	0
2 	16	R	South	20	1
2 	17	B	North	23	1
2 	18	Y	North	19	1
2 	19	R	North	20	1
2 	20	Y	North	18	0
2 	21	R	North	20	1
2 	22	R	North	20	1
2 	23	B	South	17	1
2 	24	Y	South	18	1
2 	25	B	North	23	1
2 	26	Y	South	19	1
2 	27	Y	South	21	0
2 	28	B	South	17	0
2 	29	R	South	20	1
2 	30	R	South	20	1
2 	31	Y	North	22	0
2 	32	R	North	20	1
2 	33	B	South	17	0
2 	34	Y	North	19	0
2 	35	R	South	20	1
2 	36	Y	South	18	1
2 	37	B	North	18	0
2 	38	B	South	18	1
2 	39	R	North	20	1
2 	40	Y	South	21	1
2 	41	B	South	22	0
2 	42	Y	South	22	0
2 	43	B	North	23	1
2 	44	Y	North	21	1
2 	45	Y	South	19	1
2 	46	B	North	18	1
2 	47	R	North	20	1
2 	48	R	North	20	1
