Participant,Trial no.,North/South,Colour,Position,Hit/Miss,R,Y,B
ZW1,1,north,Blue,18,Hit ,4,7,9
ZW1,2,north,red ,22,Hit ,4,7,9
ZW1,3,north,red ,20,Hit ,4,7,9
ZW1,4,south ,yellow,20,miss,4,7,9
ZW1,5,south ,red ,20,Hit ,4,7,9
ZW1,6,south ,blue,19,Hit ,4,7,9
ZW1,7,south ,yellow,20,miss,4,7,9
ZW1,8,north,yellow,20,Hit ,4,7,9
ZW1,9,north,blue,22,miss,4,7,9
ZW1,10,south ,blue,20,miss,4,7,9
ZW1,11,south ,yellow,19,Hit ,4,7,9
ZW1,12,south ,red ,20,Hit ,4,7,9
ZW1,13,north,red ,20,Miss,4,7,9
ZW1,14,north,red ,20,Hit ,4,7,9
ZW1,15,north,blue,18,Miss,4,7,9
ZW1,16,north,yellow,22,Miss,4,7,9
ZW1,17,north,red ,20,Miss,4,7,9
ZW1,18,south ,yellow,21,Hit ,4,7,9
ZW1,19,north ,blue,20,Miss,4,7,9
ZW1,20,south ,yellow,21,Hit ,4,7,9
ZW1,21,south ,red ,20,Hit ,4,7,9
ZW1,22,south ,red ,20,Hit ,4,7,9
ZW1,23,north,yellow,20,Miss,4,7,9
ZW1,24,south ,blue,20,Hit ,4,7,9
ZW1,25,north,blue,20,Hit ,4,7,9
ZW1,26,south ,red ,20,Hit ,4,7,9
ZW1,27,south ,red ,20,Hit ,4,7,9
ZW1,28,north,yellow,20,Hit ,4,7,9
ZW1,29,south ,yellow,20,MIss,4,7,9
ZW1,30,south ,blue,20,MIss,4,7,9
ZW1,31,north,blue,20,Hit ,4,7,9
ZW1,32,south ,red ,20,Hit ,4,7,9
ZW1,33,south ,red ,20,Hit ,4,7,9
ZW1,34,north,blue,20,Hit ,4,7,9
ZW1,35,north,red ,20,Hit ,4,7,9
ZW1,36,north,red ,20,Hit ,4,7,9
ZW1,1,south ,red ,20,Hit ,8,10,12
ZW1,2,south ,yellow,20,Hit ,8,10,12
ZW1,3,north,yellow,20,Hit ,8,10,12
ZW1,4,north,yellow,20,Hit ,8,10,12
ZW1,5,north,blue,20,miss,8,10,12
ZW1,6,south ,blue,20,miss,8,10,12
ZW1,7,north,blue,20,Hit ,8,10,12
ZW1,8,south ,blue,20,miss,8,10,12
ZW1,9,north,yellow,20,Hit ,8,10,12
ZW1,10,south ,blue,20,miss,8,10,12
ZW1,11,south ,yellow,20,miss,8,10,12
ZW1,12,south ,red ,20,Hit ,8,10,12
ZW1,13,north,red ,20,Hit ,8,10,12
ZW1,14,north,red ,20,miss,8,10,12
ZW1,15,south ,yellow,20,miss,8,10,12
ZW1,16,north,blue,20,Hit ,8,10,12
ZW1,17,south ,red ,20,Hit ,8,10,12
ZW1,18,north,red ,20,Hit ,8,10,12
ZW1,19,north,blue,20,miss,8,10,12
ZW1,20,south ,yellow,20,Hit ,8,10,12
ZW1,21,north,blue,20,Hit ,8,10,12
ZW1,22,north,red ,20,Hit ,8,10,12
ZW1,23,north,yellow,20,miss,8,10,12
ZW1,24,south ,red ,20,Hit ,8,10,12
ZW1,25,north,blue,20,miss,8,10,12
ZW1,26,south ,yellow,20,Hit ,8,10,12
ZW1,27,south ,yellow,20,Hit ,8,10,12
ZW1,28,south ,red ,20,Hit ,8,10,12
ZW1,29,south ,blue,20,miss,8,10,12
ZW1,30,north,red ,20,Hit ,8,10,12
ZW1,31,south ,yellow,20,Hit ,8,10,12
ZW1,32,north,red ,20,Hit ,8,10,12
ZW1,33,north,blue,20,Hit ,8,10,12
ZW1,34,north,red ,20,Hit ,8,10,12
ZW1,35,south ,red ,20,miss,8,10,12
ZW1,36,south ,yellow,20,Hit ,8,10,12
ZW2,1,north ,yellow,19,miss,10,12,15
ZW2,2,south,yellow,22,miss,10,12,15
ZW2,3,north,blue,19,miss,10,12,15
ZW2,4,north,red,17,miss,10,12,15
ZW2,5,north,red,17,miss,10,12,15
ZW2,6,south,red,18,hit,10,12,15
ZW2,7,north,blue,17,miss,10,12,15
ZW2,8,south,red,24,miss,10,12,15
ZW2,9,south,yellow,18,miss,10,12,15
ZW2,10,south,red,18,hit,10,12,15
ZW2,11,south,red,18,miss,10,12,15
ZW2,12,north,yellow,20,miss,10,12,15
ZW2,13,north,yellow,20,miss,10,12,15
ZW2,14,north,blue,26,miss,10,12,15
ZW2,15,south,yellow,18,hit,10,12,15
ZW2,16,north,red,18,miss,10,12,15
ZW2,17,south,blue,22,miss,10,12,15
ZW2,18,south,red,22,hit,10,12,15
ZW2,19,south,blue,22,miss,10,12,15
ZW2,20,north,blue,22,miss,10,12,15
ZW2,21,north,yellow,18,hit,10,12,15
ZW2,22,north,yellow,20,miss,10,12,15
ZW2,23,south,yellow,20,miss,10,12,15
ZW2,24,north,red,22,miss,10,12,15
ZW2,25,north,yellow,20,hit,10,12,15
ZW2,26,south,yellow,20,miss,10,12,15
ZW2,27,south,red,20,hit,10,12,15
ZW2,28,north,yellow,18,miss,10,12,15
ZW2,29,north,yellow,18,hit,10,12,15
ZW2,30,south,red,18,miss,10,12,15
ZW2,31,south,yellow,24,hit,10,12,15
ZW2,32,south,red,23,hit,10,12,15
ZW2,33,south,yellow,20,miss,10,12,15
ZW2,34,north,red,20,miss,10,12,15
ZW2,35,north,red,20,miss,10,12,15
ZW2,36,south,blue,20,miss,10,12,15
ZW2,1,south,yellow,18,miss,5,9,11
ZW2,2,north,yellow,18,miss,5,9,11
ZW2,3,south,blue,20,miss,5,9,11
ZW2,4,north ,blue,20,miss,5,9,11
ZW2,5,north,blue,20,miss,5,9,11
ZW2,6,north,red,20,miss,5,9,11
ZW2,7,north,yellow,20,miss,5,9,11
ZW2,8,north,blue,20,hit,5,9,11
ZW2,9,south,red,18,miss,5,9,11
ZW2,10,north,red,18,hit,5,9,11
ZW2,11,south,yellow,18,miss,5,9,11
ZW2,12,south,blue,20,miss,5,9,11
ZW2,13,south,red,20,hit,5,9,11
ZW2,14,south,yellow,16,miss,5,9,11
ZW2,15,north,blue,16,hit,5,9,11
ZW2,16,north,blue,20,miss,5,9,11
ZW2,17,north,blue,22,miss,5,9,11
ZW2,18,south,yellow,16,miss,5,9,11
ZW2,19,north,red,16,hit,5,9,11
ZW2,20,north,yellow,16,miss,5,9,11
ZW2,21,south,blue,20,miss,5,9,11
ZW2,22,north,yellow,20,miss,5,9,11
ZW2,23,south,red,24,hit,5,9,11
ZW2,24,north,red,24,miss,5,9,11
ZW2,25,south,blue,24,hit,5,9,11
ZW2,26,north,blue,24,miss,5,9,11
ZW2,27,south,yellow,18,miss,5,9,11
ZW2,28,south,red,18,hit,5,9,11
ZW2,29,south,yellow,18,miss,5,9,11
ZW2,30,south,blue,16,miss,5,9,11
ZW2,31,north,red,16,hit,5,9,11
ZW2,32,north,yellow,24,miss,5,9,11
ZW2,33,north,blue,24,hit,5,9,11
ZW2,34,south,yellow,24,hit,5,9,11
ZW2,35,south,blue,24,miss,5,9,11
ZW2,36,south,yellow,24,hit,5,9,11
ZW3,1,north,red,24,hit,5,9,11
ZW3,2,south,red,16,hit,5,9,11
ZW3,3,north,yellow,28,hit,5,9,11
ZW3,4,north,yellow,22,hit,5,9,11
ZW3,5,north,red,16,hit,5,9,11
ZW3,6,south,red,18,hit,5,9,11
ZW3,7,south,red,16,hit,5,9,11
ZW3,8,north,blue,26,miss,5,9,11
ZW3,9,north,blue,28,miss,5,9,11
ZW3,10,south,red,14,hit,5,9,11
ZW3,11,north,blue,22,hit,5,9,11
ZW3,12,south,yellow,22,hit,5,9,11
ZW3,13,north,yellow,18,miss,5,9,11
ZW3,14,south,yellow,24,hit,5,9,11
ZW3,15,south,red,18,hit,5,9,11
ZW3,16,north,blue,14,hit,5,9,11
ZW3,17,north,red,22,hit,5,9,11
ZW3,18,north,blue,32,miss,5,9,11
ZW3,19,north,blue,20,hit,5,9,11
ZW3,20,north,red,24,hit,5,9,11
ZW3,21,south,yellow,16,hit,5,9,11
ZW3,22,south,blue,22,hit,5,9,11
ZW3,23,north,yellow,20,hit,5,9,11
ZW3,24,north,blue,26,hit,5,9,11
ZW3,25,south,yellow,24,hit,5,9,11
ZW3,26,south,blue,20,hit,5,9,11
ZW3,27,south,blue,18,hit,5,9,11
ZW3,28,south,red,16,hit,5,9,11
ZW3,29,south,red,14,miss,5,9,11
ZW3,30,south,blue,28,hit,5,9,11
ZW3,31,north,yellow,20,miss,5,9,11
ZW3,32,south,yellow,24,hit,5,9,11
ZW3,33,south,yellow,16,hit,5,9,11
ZW3,34,north,yellow,24,miss,5,9,11
ZW3,35,south,red,28,hit,5,9,11
ZW3,36,north,blue,18,miss,5,9,11
ZW3 ,1,south,blue,16,miss,10,12,15
ZW3,2,north,red,22,hit,10,12,15
ZW3,3,north,yellow,16,miss,10,12,15
ZW3,4,north,red,20,hit,10,12,15
ZW3,5,south,blue,26,hit,10,12,15
ZW3,6,south,red,18,hit,10,12,15
ZW3,7,south,yellow,20,miss,10,12,15
ZW3,8,north,yellow,26,miss,10,12,15
ZW3,9,north,yellow,28,miss,10,12,15
ZW3,10,north,red,22,hit,10,12,15
ZW3,11,north,blue,14,hit,10,12,15
ZW3,12,north,yellow,24,miss,10,12,15
ZW3,13,north,red,20,miss,10,12,15
