Block	Trial	Color	Direction	SubjectPosition	Accuracy
1	 1	Y	South	19	1
1	 2	B	North	18	0
1	 3	B	South	21	0
1	 4	Y	North	21	0
1	 5	R	North	20	0
1	 6	R	North	19	1
1	 7	R	North	20	0
1	 8	B	North	16	0
1	 9	B	South	23	0
1	 10	B	South	17	1
1	 11	R	North	21	1
1	 12	B	South	16	0
1	 13	B	South	10	0
1	 14	R	South	24	0
1	 15	R	South	19	1
1	 16	B	North	21	0
1	 17	R	North	20	1
1	 18	Y	South	18	0
1	 19	Y	South	18	1
1	 20	Y	North	23	0
1	 21	Y	South	22	0
1	 22	R	South	20	1
1	 23	B	North	20	0
1	 24	Y	North	18	0
1	 25	Y	North	18	0
1	 26	B	North	21	0
1	 27	Y	South	18	0
1	 28	B	South	20	0
1	 29	R	South	20	0
1	 30	Y	South	21	1
1	 31	B	North	20	0
1	 32	B	North	20	0
1	 33	R	South	19	1
1	 34	R	North	19	0
1	 35	B	South	20	1
1	 36	Y	North	19	1
1	 37	R	South	20	0
1	 38	B	North	24	0
1	 39	B	South	24	0
1	 40	R	North	18	0
1	 41	Y	South	17	0
1	 42	R	South	23	1
1	 43	Y	North	25	1
1	 44	Y	North	25	1
1	 45	R	South	19	1
1	 46	Y	North	16	0
1	 47	R	North	16	0
1	 48	Y	South	15	0
2	 1	R	South	20	1
2	 2	B	South	17	0
2	 3	Y	South	23	0
2	 4	Y	South	22	0
2	 5	Y	North	23	1
2	 6	R	North	22	1
2	 7	B	North	18	0
2	 8	R	North	18	0
2	 9	R	South	18	1
2	 10	R	South	21	1
2	 11	B	North	18	0
2	 12	R	North	22	1
2	 13	B	South	17	0
2	 14	B	North	18	0
2	 15	Y	North	24	1
2	 16	R	South	18	1
2	 17	B	South	22	0
2	 18	B	South	20	0
2	 19	B	South	22	0
2	 20	R	South	22	0
2	 21	Y	North	23	0
2	 22	R	North	19	0
2	 23	Y	North	17	1
2	 24	B	North	17	0
2	 25	Y	North	22	1
2	 26	B	North	22	0
2	 27	Y	North	19	1
2	 28	B	South	17	1
2	 29	Y	South	17	1
2	 30	B	North	23	0
2	 31	Y	South	23	1
2	 32	R	South	19	1
2	 33	Y	South	21	1
2	 34	Y	South	24	0
2	 35	R	North	21	0
2	 36	R	North	21	1
2	 37	B	North	16	0
2	 38	Y	South	23	1
2	 39	B	North	20	0
2	 40	B	South	20	0
2	 41	R	South	17	1
2	 42	B	South	17	1
2	 43	Y	North	22	0
2	 44	Y	North	21	1
2	 45	R	South	19	1
2	 46	R	North	18	1
2	 47	R	North	20	1
2	 48	Y	South	17	1
