Block	 Trial	Color	Direction	SubjectPosition	Accuracy
1 	1	Y	North	21	1
1 	2	Y	South	21	0
1 	3	R	South	20	0
1 	4	R	North	20	1
1 	5	R	South	20	1
1 	6	Y	South	20	0
1 	7	B	North	21	0
1 	8	B	South	21	1
1 	9	B	North	21	0
1 	10	B	South	21	0
1 	11	Y	North	21	0
1 	12	Y	South	21	0
1 	13	Y	North	21	0
1 	14	R	South	20	1
1 	15	B	South	21	1
1 	16	Y	South	21	0
1 	17	Y	South	21	1
1 	18	B	North	21	0
1 	19	R	South	20	0
1 	20	B	North	20	0
1 	21	B	South	20	0
1 	22	Y	North	21	1
1 	23	R	South	20	0
1 	24	R	South	20	1
1 	25	B	North	21	0
1 	26	R	North	21	1
1 	27	B	South	21	1
1 	28	Y	North	21	1
1 	29	Y	South	21	1
1 	30	B	North	21	0
1 	31	B	South	21	1
1 	32	R	North	20	1
1 	33	R	North	20	0
1 	34	B	North	21	0
1 	35	Y	North	21	0
1 	36	Y	South	21	0
1 	37	R	South	20	0
1 	38	R	North	20	1
1 	39	Y	South	21	0
1 	40	R	North	15	0
1 	41	Y	North	23	1
1 	42	Y	North	23	1
1 	43	B	North	21	0
1 	44	R	North	21	0
1 	45	R	South	18	1
1 	46	B	South	22	0
1 	47	R	North	20	1
1 	48	B	South	23	0
2 	1	R	South	20	1
2 	2	Y	North	18	1
2 	3	Y	South	18	0
2 	4	B	North	22	1
2 	5	Y	North	20	1
2 	6	Y	North	20	0
2 	7	Y	South	20	1
2 	8	R	South	21	0
2 	9	R	South	21	1
2 	10	Y	North	17	0
2 	11	B	South	22	0
2 	12	R	North	22	1
2 	13	R	South	20	1
2 	14	B	North	18	0
2 	15	Y	North	21	0
2 	16	B	North	20	1
2 	17	Y	South	19	1
2 	18	Y	North	21	1
2 	19	B	South	22	0
2 	20	Y	South	19	1
2 	21	B	South	19	0
2 	22	B	South	19	0
2 	23	B	South	22	1
2 	24	Y	North	21	1
2 	25	R	North	19	1
2 	26	R	North	19	1
2 	27	R	South	18	1
2 	28	R	North	19	1
2 	29	B	North	22	0
2 	30	R	North	20	1
2 	31	R	South	20	0
2 	32	R	North	18	1
2 	33	B	South	17	1
2 	34	R	North	19	0
2 	35	R	South	19	1
2 	36	R	South	21	1
2 	37	R	North	21	1
2 	38	Y	South	18	1
2 	39	B	North	20	0
2 	40	B	South	19	0
2 	41	Y	South	22	0
2 	42	B	North	20	0
2 	43	Y	North	18	0
2 	44	B	South	21	0
2 	45	B	North	21	0
2 	46	Y	South	19	1
2 	47	Y	South	21	1
2 	48	B	North	21	0
