Participants,Trial,Direction,Colour,Position,Hit/Miss,R,Y,B
1,1,1,R,0,1,5,9,14
1,2,1,B,0,0,5,9,14
1,3,1,Y,0,0,5,9,14
1,4,2,Y,10,1,5,9,14
1,5,2,B,0,0,5,9,14
1,6,1,R,0,1,5,9,14
1,7,1,Y,0,1,5,9,14
1,8,2,B,-7,0,5,9,14
1,9,1,R,0,1,5,9,14
1,10,2,Y,-5,1,5,9,14
1,11,1,R,0,1,5,9,14
1,12,2,R,0,1,5,9,14
1,13,2,Y,0,0,5,9,14
1,14,2,B,12,1,5,9,14
1,15,1,B,-10,1,5,9,14
1,16,2,B,-11,0,5,9,14
1,17,1,Y,0,0,5,9,14
1,18,2,R,0,1,5,9,14
1,19,1,R,0,1,5,9,14
1,20,1,B,-10,1,5,9,14
1,21,1,B,5,0,5,9,14
1,22,1,Y,-2,0,5,9,14
1,23,1,R,0,1,5,9,14
1,24,2,Y,-3,0,5,9,14
1,25,2,R,0,1,5,9,14
1,26,2,Y,3,1,5,9,14
1,27,1,B,0,0,5,9,14
1,28,2,Y,-7,0,5,9,14
1,29,2,Y,3,0,5,9,14
1,30,1,R,0,1,5,9,14
1,31,1,R,0,1,5,9,14
1,32,2,B,12,1,5,9,14
1,33,1,B,-13,1,5,9,14
1,34,2,Y,1,1,5,9,14
1,35,2,B,11,1,5,9,14
1,36,2,R,0,1,5,9,14
1,37,1,Y,-3,0,5,9,14
1,38,2,R,0,1,5,9,14
1,39,1,B,14,0,5,9,14
1,40,1,B,0,0,5,9,14
1,41,2,Y,-3,0,5,9,14
1,42,2,R,0,0,5,9,14
1,43,1,B,-14,1,5,9,14
1,44,1,Y,4,0,5,9,14
1,45,2,R,0,1,5,9,14
2,1,2,R,0,1,5,10,15
2,2,1,Y,7,0,5,10,15
2,3,2,B,-7,0,5,10,15
2,4,1,B,-7,1,5,10,15
2,5,1,R,0,0,5,10,15
2,6,1,Y,5,0,5,10,15
2,7,2,R,0,0,5,10,15
2,8,1,B,8,0,5,10,15
2,9,1,Y,-7,1,5,10,15
2,10,1,B,-1,0,5,10,15
2,11,2,R,1,1,5,10,15
2,12,2,Y,5,1,5,10,15
