Block	Participant	Hoop	Delta
1	DK1	Red	8
1	DK1	Yellow	10
1	DK1	Blue	13
2	DK1	Red	5
2	DK1	Yellow	9
2	DK1	Blue	11
1	DK2	Red	8
1	DK2	Yellow	10
1	DK2	Blue	13
2	DK2	Red	5
2	DK2	Yellow	9
2	DK2	Blue	11
1	LJ2	Red	10
1	LJ2	Yellow	12
1	LJ2	Blue	16
2	LJ2	Red	6
2	LJ2	Yellow	11
2	LJ2	Blue	13
1	LJ1	Red	8
1	LJ1	Yellow	10
1	LJ1	Blue	14
2	LJ1	Red	5
2	LJ1	Yellow	9
2	LJ1	Blue	11
1	WJ1	Red	7
1	WJ1	Yellow	9
1	WJ1	Blue	12
2	WJ1	Red	4
2	WJ1	Yellow	8
2	WJ1	Blue	10
1	WJ2	Red	9
1	WJ2	Yellow	11
1	WJ2	Blue	14
2	WJ2	Red	5
2	WJ2	Yellow	10
2	WJ2	Blue	12
1	AJ1	Red	7
1	AJ1	Yellow	9
1	AJ1	Blue	12
2	AJ1	Red	4
2	AJ1	Yellow	8
2	AJ1	Blue	10
1	AJ2	Red	7
1	AJ2	Yellow	9
1	AJ2	Blue	12
2	AJ2	Red	4
2	AJ2	Yellow	8
2	AJ2	Blue	10
1	KK1	Red	9
1	KK1	Yellow	11
1	KK1	Blue	15
2	KK1	Red	5
2	KK1	Yellow	10
2	KK1	Blue	12
1	JS1	Red	7
1	JS1	Yellow	9
1	JS1	Blue	12
2	JS1	Red	4
2	JS1	Yellow	8
2	JS1	Blue	10
1	JS2	Red	8
1	JS2	Yellow	10
1	JS2	Blue	13
2	JS2	Red	5
2	JS2	Yellow	9
2	JS2	Blue	11
1	KK2	Red	8
1	KK2	Yellow	10
1	KK2	Blue	13
2	KK2	Red	5
2	KK2	Yellow	9
2	KK2	Blue	11
