Block	 Trial	Color	Direction	SubjectPosition	Accuracy
1 	1	Y	South	20	1
1 	2	Y	North	10	0
1 	3	B	South	6	1
1 	4	B	North	6	0
1 	5	Y	North	10	0
1 	6	B	North	6	0
1 	7	B	South	8	1
1 	8	Y	South	9	1
1 	9	Y	South	9	1
1 	10	R	North	20	0
1 	11	R	South	20	0
1 	12	R	North	20	0
1 	13	B	South	8	1
1 	14	Y	South	29	0
1 	15	B	South	34	0
1 	16	B	South	34	0
1 	17	B	South	34	0
1 	18	Y	South	20	0
1 	19	B	North	34	1
1 	20	R	North	20	0
1 	21	Y	North	23	0
1 	22	Y	South	18	0
1 	23	B	North	6	0
1 	24	Y	South	17	1
1 	25	Y	North	18	0
1 	26	R	South	20	0
1 	27	Y	North	22	0
1 	28	B	North	15	0
1 	29	R	North	20	0
1 	30	Y	North	20	1
1 	31	Y	South	20	1
1 	32	R	North	20	0
1 	33	B	North	20	0
1 	34	B	South	20	0
1 	35	R	North	20	0
1 	36	R	North	20	1
1 	37	R	South	20	0
1 	38	R	South	20	1
1 	39	R	North	20	0
1 	40	B	North	6	0
1 	41	Y	North	20	0
1 	42	Y	North	20	0
1 	43	B	South	14	0
1 	44	R	South	20	0
1 	45	B	North	20	0
1 	46	R	South	20	0
1 	47	R	South	20	1
1 	48	R	South	29	0
2 	1	R	South	20	1
2 	2	R	North	20	1
2 	3	Y	South	20	0
2 	4	B	North	20	0
2 	5	R	North	20	1
2 	6	B	South	20	0
2 	7	R	South	20	1
2 	8	B	South	20	0
2 	9	B	North	20	0
2 	10	R	South	20	1
2 	11	R	South	20	1
2 	12	B	South	20	0
2 	13	R	South	20	1
2 	14	Y	South	21	1
2 	15	R	North	20	1
2 	16	B	North	8	0
2 	17	B	North	8	0
2 	18	B	South	8	1
2 	19	B	South	30	0
2 	20	B	North	28	1
2 	21	Y	North	17	0
2 	22	R	North	20	1
2 	23	B	South	20	0
2 	24	B	North	20	0
2 	25	B	North	20	1
2 	26	Y	North	21	0
2 	27	Y	North	19	0
2 	28	Y	South	25	0
2 	29	Y	South	21	0
2 	30	Y	South	20	0
2 	31	B	South	22	0
2 	32	R	South	20	1
2 	33	B	North	20	0
2 	34	Y	North	15	0
2 	35	R	North	20	1
2 	36	Y	North	25	1
2 	37	R	North	20	1
2 	38	R	North	20	1
2 	39	R	North	20	1
2 	40	B	South	8	1
2 	41	Y	South	15	0
2 	42	R	South	20	1
2 	43	Y	South	20	0
2 	44	R	South	20	1
2 	45	Y	North	20	1
2 	46	Y	South	20	0
2 	47	Y	North	20	0
2 	48	Y	North	20	0
